SKU,"Stock Quantity"
A111_12-XS,0
A111_12-S,1
A111_12-M,1
A111_12-L,0
A111_20-XS,0
A111_20-S,3
A111_20-M,0
A111_20-L,0
A111_22-XS,0
A111_22-S,3
A111_22-M,0
A111_22-L,0
A111_24-XS,0
A111_24-S,1
A111_24-M,0
A111_24-L,0
A111_29-XS,0
A111_29-S,1
A111_29-M,0
A111_29-L,0
A111_19-XS,0
A111_19-S,0
A111_19-M,0
A111_19-L,0
A111_33-XS,0
A111_33-S,1
A111_33-M,0
A111_33-L,0
A111_02-XS,0
A111_02-S,1
A111_02-M,0
A111_02-L,0
A111_31-XS,0
A111_31-S,4
A111_31-M,0
A111_31-L,0
A111_10-S,0
A325_6-XS,0
A325_6-S,2
A325_6-M,1
A325_6-L,0
A325_6-XL,0
A325_3-XS,0
A325_3-S,3
A325_3-M,1
A325_3-L,0
A325_3-XL,0
A325_8-XS,0
A325_8-S,0
A325_8-M,1
A325_8-L,1
A325_8-XL,0
A325_10-XS,0
A325_10-S,2
A325_10-M,0
A325_10-L,0
A325_10-XL,0
A325_5-XS,0
A325_5-S,1
A325_5-M,1
A325_5-L,0
A325_5-XL,0
A325_2-XS,0
A325_2-S,1
A325_2-M,0
A325_2-L,0
A325_2-XL,0
A325_01-XS,0
A325_01-S,0
A325_01-M,0
A325_01-L,1
A325_01-XL,0
A325_4-XS,0
A325_4-S,1
A325_4-M,0
A325_4-L,0
A325_4-XL,0
A325_7-XS,0
A325_7-S,1
A325_7-M,1
A325_7-L,0
A325_7-XL,0
B65_4-XS,2
B65_4-S,0
B65_4-M,0
B65_4-L,0
B65_4-XL,0
B65_4-XXL,2
B65_11-XS,2
B65_11-S,1
B65_11-M,0
B65_11-L,0
B65_11-XL,0
B65_11-XXL,0
B65_6-XS,3
B65_6-S,4
B65_6-M,2
B65_6-L,0
B65_6-XL,5
B65_6-XXL,1
B65_8-XS,0
B65_8-S,4
B65_8-M,5
B65_8-L,1
B65_8-XL,1
B65_8-XXL,0
B65_7-XS,2
B65_7-S,1
B65_7-M,1
B65_7-L,2
B65_7-XL,2
B65_7-XXL,2
B65_3-XS,3
B65_3-S,5
B65_3-M,3
B65_3-L,2
B65_3-XL,5
B65_3-XXL,2
B65_5-XS,0
B65_5-S,0
B65_5-M,0
B65_5-L,2
B65_5-XL,2
B65_5-XXL,0
